Time,m_omega,m_omega_dot,m_omega_dot_dot,m_accel_dot,M_omega,M_omega_dot,M_omega_dot_dot,M_accel_dot,excited?
53.1498,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1522,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1547,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1571,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1596,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.162,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1645,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.167,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1694,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1719,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1743,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1768,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1792,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1817,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1841,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1866,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.189,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1915,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1939,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1964,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1989,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2013,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2038,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2062,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2087,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2111,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2136,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.216,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2185,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2209,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2234,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2258,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2307,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2332,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2357,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2381,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2406,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.243,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2455,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2479,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2504,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2528,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2553,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2577,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2602,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2626,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2651,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2675,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.27,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2725,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2749,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2774,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2798,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.2823,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
